id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,parking_spaces
55,벽적골주공휴먼시아8단지,경기도 수원시 영통구 영통동 972-2,아파트,15평형,49.59,17897.159509202455,20.574074074074073,1997,영통로290번길 26,163,80,20,0,0,,기타,개별난방,19971210,19971210,0
56,청명마을삼성,경기도 수원시 영통구 영통동 1046-1,아파트,27평형,92.233,39772.916666666664,37.26086956521739,2001,청명북로 33,24,0,2,0,0,,기타,개별난방,20011030,20011030,0
57,영통라온프라이빗,경기도 수원시 영통구 영통동 1154,아파트,18평형,59.8334,36652.313725490196,11.62,2017,영통로200번길 111,51,69,25,1,0,,기타,개별난방,20170926,20170926,0
58,현대,경기도 수원시 영통구 영통동 989-2,아파트,30평형,99.58,42282.857142857145,42.7,1998,매영로 366,21,80,20,0,0,,기타,개별난방,19980528,19980528,0
59,청명마을동신,경기도 수원시 영통구 영통동 956-2,아파트,40평형,134.64,53020.4,36.6,1998,영통로 460,10,80,20,0,0,,기타,개별난방,19980623,19980623,0
60,영통센트럴파크뷰,경기도 수원시 영통구 영통동 948-4,아파트,18평형,59.94,21318.170588235294,23.650887573964496,1999,영통로514번길 53,170,80,20,0,0,,기타,개별난방,19990503,19990503,0
61,영통3풍림아이원,경기도 수원시 영통구 영통동 1093,아파트,25평형,84.877,30644.64285714286,22.22222222222222,2002,봉영로1482번길 18,28,96,25,2,0,,기타,개별난방,20021025,20021025,0
62,살구골마을진덕서광성지동아,경기도 수원시 영통구 영통동 988-2,아파트,30평형,101.25,40375.281690140844,33.2112676056338,1998,봉영로 1526,71,32,16,1,0,,기타,개별난방,19980126,19980126,0
63,신나무실휴먼시아5단지,경기도 수원시 영통구 영통동 964-5,아파트,18평형,59.99,20247.591743119265,21.622119815668203,1997,영통로290번길 25,218,100,20,0,0,,기타,개별난방,19971215,19971215,0
64,벽적골우성,경기도 수원시 영통구 영통동 973-3,아파트,18평형,59.84,19909.02985074627,31.278195488721803,1998,영통로 232,134,78,20,0,0,,기타,개별난방,19971216,19971216,0
65,벽적골9단지주공,경기도 수원시 영통구 영통동 970-3,아파트,17평형,59.39,23475.191489361703,18.73931623931624,1999,봉영로1517번길 27,235,44,15,1,0,,기타,개별난방,19991110,19991110,0
66,벽적골한신,경기도 수원시 영통구 영통동 973-3,아파트,18평형,59.84,23287.17361111111,19.97902097902098,1997,영통로 232,144,78,20,0,0,,기타,개별난방,19971216,19971216,0
67,대우월드마크,경기도 수원시 영통구 영통동 996-3,아파트,38평형,127.9754,47500.0,62.5,2008,봉영로 1620,5,208,36,10,0,,기타,개별난방,20080609,20080609,0
68,신나무실동보,경기도 수원시 영통구 영통동 968,아파트,25평형,84.9,31086.05,27.491525423728813,1997,봉영로1517번길 76,60,80,20,0,0,,기타,개별난방,19971216,19971216,0
69,벽적골주공휴먼시아8단지,경기도 수원시 영통구 영통동 972-2,아파트,18평형,59.99,20396.668341708544,23.7979797979798,1997,영통로290번길 26,199,80,20,0,0,,기타,개별난방,19971210,19971210,0
70,황골마을신명,경기도 수원시 영통구 영통동 1054-3,아파트,18평형,59.95,21220.746268656716,16.59090909090909,1997,봉영로1770번길 21,67,160,20,0,0,,기타,개별난방,19971231,19971231,0
71,태영,경기도 수원시 영통구 영통동 969-1,아파트,25평형,84.88,34050.857142857145,8.470588235294118,1997,봉영로1517번길 73,35,72,18,0,0,,기타,개별난방,19971212,19971212,0
72,황골마을(쌍용),경기도 수원시 영통구 영통동 1052-2,아파트,18평형,59.8,22461.039682539682,16.584,1998,봉영로1744번길 16,126,80,20,0,0,,기타,개별난방,19980310,19980310,0
73,신나무실쌍용,경기도 수원시 영통구 영통동 963-2,아파트,18평형,59.965,17821.23076923077,27.723076923076924,1997,매영로310번길 12,65,140,18,0,0,,기타,개별난방,19971216,19971216,0
74,황골마을한국,경기도 수원시 영통구 영통동 1054-3,아파트,18평형,59.95,18460.67213114754,25.75409836065574,1998,봉영로1770번길 21,61,160,20,0,0,,기타,개별난방,19971231,19971231,0
75,신나무실풍림,경기도 수원시 영통구 영통동 967-2,아파트,25평형,84.9,39456.666666666664,10.0,2000,봉영로1517번길 30,15,68,17,0,0,,기타,개별난방,19990930,19990930,0
