id,building_name,address,building_type,room_type,area,avg_deposit,avg_monthly_rent,construction_year,road_name,sample_count,households,ground_floors,elevators,emergency_elevators,main_use_code,building_usage,heating_type,approval_date,completion_date,latitude,longitude,school_walking_time,station_walking_time
35,경희타운,경기 수원시 영통구 영통동 1023-6,아파트,4평형,16.0252,666.6666666666666,51.0,2015,경기 수원시 영통구 영일로6번길 13,9,70,11,1,0,,기타,개별난방,20150316,20150316,37.2483444547179,127.076518332425,12,30
36,신나무실풍림,경기 수원시 영통구 영통동 967-2,아파트,22평형,75.69,34738.07692307692,10.31360946745562,2000,경기 수원시 영통구 봉영로1517번길 20,26,68,17,0,0,,기타,개별난방,19990930,19990930,37.2494612949018,127.067801590766,25,13
37,황골마을주공1,경기 수원시 영통구 영통동 955-1,아파트,14평형,49.44,22969.5,0.0,1997,경기 수원시 영통구 영통로 498,4,80,20,0,0,,기타,개별난방,19971216,19971216,37.26243359705,127.079691261172,46,33
38,청명센트레빌,경기 수원시 영통구 영통동 1166,아파트,25평형,84.9466,39100.0,7.5,2013,경기 수원시 영통구 영통로525번길 35,12,78,20,0,0,,기타,개별난방,20130604,20130604,37.2651357581542,127.075809401757,59,46
39,영통마크타워,경기 수원시 영통구 영통동 1025-6,아파트,6평형,21.89,1444.4444444444443,65.33333333333333,2017,경기 수원시 영통구 청명로 10,9,99,14,1,0,,기타,개별난방,20170117,20170117,37.2486978201632,127.079562728237,10,27
40,I-CITY,경기 수원시 영통구 영통동 1024-9,아파트,4평형,15.12,1825.0,42.9,2013,경기 수원시 영통구 덕영대로 1703,20,84,10,1,0,,기타,개별난방,20131226,20131226,37.247987299865,127.077596624049,11,28
41,신나무실신원,경기 수원시 영통구 영통동 965-2,아파트,30평형,101.714,38316.666666666664,69.46031746031746,1999,경기 수원시 영통구 매영로310번길 27,15,80,20,0,0,,기타,개별난방,19991229,19991229,37.2521290874116,127.066724029515,24,11
42,myown,경기 수원시 영통구 영통동 1025-7,아파트,4평형,15.7575,666.6666666666666,52.80952380952381,2014,경기 수원시 영통구 청명로 8,21,88,13,1,0,,기타,개별난방,20140530,20140530,37.2484420666291,127.079483898683,10,25
43,인화빌딩,경기 수원시 영통구 영통동 1021-5,아파트,3평형,12.66,1000.0,52.0,2018,경기 수원시 영통구 영일로6번길 49,1,40,10,1,0,,기타,개별난방,20181221,20181221,37.2483425223199,127.078642621375,9,27
44,대우월드마크,경기 수원시 영통구 영통동 996-3,아파트,35평형,116.8695,40000.0,61.0,2008,경기 수원시 영통구 봉영로 1620,5,208,36,10,0,,기타,개별난방,20080609,20080609,37.2549998699316,127.075622157305,20,16
