시군명,사업장명,인허가일자,영업상태명,폐업일자,다중이용업소여부,총시설규모(㎡),위생업종명,위생업태명,소재지도로명주소,소재지지번주소,소재지우편번호,WGS84위도,WGS84경도
수원시,씨유율전상률점,2013-12-24,영업,,,,,편의점,"경기도 수원시 장안구 서부로2181번길 55, 1층 (율전동)",경기도 수원시 장안구 율전동 149-4 ,16357,37.3032183275,126.9697357477
수원시,세븐일레븐 삼성신동점,20111220,영업,,,,,편의점,"경기도 수원시 영통구 신원로 228 (매탄동, 492-7번지 1층)",경기도 수원시 영통구 매탄동 492-7 (1층) ,16676,37.2561672959,127.0603366039
수원시,주식회사 동문지에스,20210312,영업,,,,,편의점,"경기도 수원시 팔달구 고등로 15, 근린생활시설2동 1층 26,27호 (고등동, 수원역푸르지오자이)",경기도 수원시 팔달구 고등동 156-117 수원역푸르지오자이 ,16452,37.2740243572,127.0013087642
수원시,GS25 권선대신점,20220118,영업,,,,,편의점,"경기도 수원시 권선구 권중로 136, 1층 110,111호 (권선동, 신동아아파트)",경기도 수원시 권선구 권선동 1274 신동아아파트 ,16559,37.2485200648,127.0312559435
수원시,씨유 호매실타운점,2023-08-17,영업,,,,,편의점,"경기도 수원시 권선구 노림로15번길 26, 1층 일부호 (호매실동)",경기도 수원시 권선구 호매실동 454-2 ,16399,37.2672937943,126.9529685891
수원시,세븐일레븐 수원터미널1호점,2023-11-23,영업,,,,,편의점,"경기도 수원시 권선구 경수대로 270, 터미널동, 할인점동 1층 1313호 (권선동)","경기도 수원시 권선구 권선동 1189 터미널동, 할인점동 ",16585,37.2504974396,127.0208246964
수원시,세븐일레븐(수원권선4호점),2003-10-14,영업,,,,,편의점,"경기도 수원시 권선구 세지로82번길 30, 1층 (권선동)",경기도 수원시 권선구 권선동 996-18 ,16564,37.2585506372,127.0195219216
수원시,세븐일레븐 수원삼익점,2012-01-26,영업,,,,,편의점,경기도 수원시 장안구 경수대로 1082 (파장동),경기도 수원시 장안구 파장동 266-8 ,16205,37.3095639813,126.9944273952
수원시,세븐일레븐 수원탑건점,2023-12-20,영업,,,,,편의점,,경기도 수원시 권선구 세류동 1039 ,,37.2488116976,127.0041476917
수원시,세븐일레븐 수원능실점,2023-08-28,영업,,,,,편의점,"경기도 수원시 권선구 호매실로166번길 63, 상가동 101, 102호 (호매실동, 호매실스위첸)",경기도 수원시 권선구 호매실동 1394 호매실스위첸 ,16629,37.2589281267,126.9606637551
수원시,지에스25 영화센터점,2018-08-20,영업,,,,,편의점,경기도 수원시 장안구 수성로382번길 14 (영화동),경기도 수원시 장안구 영화동 259-5 ,16269,37.2934483461,127.0140763264
수원시,이마트24 권선센터점,2024-01-12,영업,,,,,편의점,"경기도 수원시 권선구 경수대로302번길 22, 상가동 101호, 102호, 103호 (권선동, 권선한양아파트)",경기도 수원시 권선구 권선동 1188 권선한양아파트 ,16585,37.2531226242,127.0213493360
수원시,씨유 수원호매실점,2023-12-07,영업,,,,,편의점,"경기도 수원시 권선구 금호로 7, 1층 일부호 (호매실동)",경기도 수원시 권선구 호매실동 469-21 ,16399,37.2687801016,126.9527548208
수원시,지에스25 매탄그린빌점,2023-08-16,영업,,,,,편의점,"경기도 수원시 영통구 동탄원천로881번길 19, 1층 102,103호 (매탄동, 주공그린빌)",경기도 수원시 영통구 매탄동 1285 주공그린빌 ,16548,37.2530386348,127.0411173136
수원시,지에스25(GS25) 천천한일,2023-10-10,영업,,,,,편의점,"경기도 수원시 장안구 하률로12번길 10, 1층 일부호 (천천동)",경기도 수원시 장안구 천천동 561-1 단독주택용지 ,16324,37.3024363549,126.9742772844
수원시,세븐일레븐(수원조원점),2003-03-19,영업,,,,,편의점,경기도 수원시 장안구 조원로112번길 2 (조원동),경기도 수원시 장안구 조원동 729-16 ,16282,37.3023912305,127.0143460210
