대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100231693,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,LMO농장온실6동,0,주건축물,0,90,0,90,90,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,경사지붕,0,0,5.44,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,20100225,20100427,20100623,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179156,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,저압저산소훈련장,0,주건축물,0,250.2,0,364.2,364.2,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,3,2,0,0,0,0,0,364.2,0,0,0,0,0,0,0,0,20021105,20030515,20031208,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100231692,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,LMO농장온실5동,0,주건축물,0,90,0,90,90,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,경사지붕,0,0,5.44,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,20100225,20100427,20100623,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100318736,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,실험연구동 B동,0,주건축물,0,1451.25,0,1451.25,1451.25,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,샌드위치판넬,0,0,6,1,0,0,0,0,0,1451.25,0,0,0,0,0,0,32,0,20100225,20100427,20100623,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179162,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,글로벌관,0,주건축물,0,747,0,3684.6,3684.6,0,21,철근콘크리트구조,"철근콘크리트구조,철골구조",10000,교육연구시설,교욱연구시설,90,기타지붕,경량지붕틀,0,0,17,5,0,1,0,0,0,3684.6,0,0,0,0,0,0,2,0,19980930,19990602,19991022,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179164,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,국제대학관,0,주건축물,0,1131.26,0,4783.27,4234.32,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,20.4,4,1,0,0,0,0,4783.27,0,0,0,0,0,0,1,0,19971031,19970318,19990223,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179157,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,실험동,0,주건축물,0,2704.9,0,5128.62,3979.5,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,90,기타지붕,기타지붕,0,0,16.5,2,1,0,0,0,0,5128.62,0,0,0,0,0,0,0,0,19860814,19880901,19950228,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,1116179165,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,천문대,0,주건축물,0,746.2,0,2024.16,1859.66,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,천문대,10,(철근)콘크리트,(철근)콘크리트,0,0,23.05,4,1,0,0,0,0,2024.16,0,0,0,0,0,0,21,0,19880812,19880901,19950228,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100231691,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,LMO농장온실4동,0,주건축물,0,90,0,90,90,0,32,경량철골구조,경량철골구조,10000,교육연구시설,교육연구시설,90,기타지붕,경사지붕,0,0,5.44,1,0,0,0,0,0,90,0,0,0,0,0,0,0,0,20100225,20100427,20100623,2010,4050248,건축과,1102,증축허가,0,,0,0,,0,,0,20220909,0,
경기도 용인시 기흥구 서천동 1번지,41463,11000,0,0001,0000,11161100176308,1,일반,2,일반건축물,경기도 용인시 기흥구 덕영대로 1732 (서천동),경희대학교,,,,47,414633012001,11003,0,1732,,예술디자인대학관,0,주건축물,0,5110.99,0,19559.04,13283.53,0,21,철근콘크리트구조,철근콘크리트구조,10000,교육연구시설,교육연구시설,10,(철근)콘크리트,(철근)콘크리트,0,0,37.3,7,2,2,0,0,0,19559.04,0,0,0,0,0,0,611,0,20021105,20060302,20071214,,,,,,0,,0,0,,0,,0,20220909,0,
