대지위치,시군구코드,법정동코드,대지구분코드,번,지,관리건축물대장PK,대장구분코드,대장구분코드명,대장종류코드,대장종류코드명,도로명대지위치,건물명,특수지명,블록,로트,외필지수,새주소도로코드,새주소법정동코드,새주소지상지하코드,새주소본번,새주소부번,동명칭,주부속구분코드,주부속구분코드명,대지면적(㎡),건축면적(㎡),건폐율(%),연면적(㎡),용적률산정연면적(㎡),용적률(%),구조코드,구조코드명,기타구조,주용도코드,주용도코드명,기타용동,지붕코드,지붕코드명,기타지붕,세대수(세대),가구수(가구),높이(m),지상층수,지하층수,승용승강기수,비상용승강기수,부속건축물수,부속건축물면적(㎡),총동연면적(㎡),옥내기계식대수(대),옥내기계식면적(㎡),옥외기계식대수(대),옥외기계식면적(㎡),옥내자주식대수(대),옥내자주식면적(㎡),옥외자주식대수(대),옥외자주식면적(㎡),허가일,착공일,사용승인일,허가번호년,허가번호기관코드,허가번호기관코드명,허가번호구분코드,허가번호구분코드명,호수(호),에너지효율등급,에너지절감률,EPI점수,친환경건축물등급,친환경건축물인증점수,지능형건축물등급,지능형건축물인증점수,생성일자,내진설계적용여부,내진능력
경기도 수원시 영통구 영통동 61-1번지,41117,10500,0,0061,0001,10841242029,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 262 (영통동),,,,,2,411173177003,10503,0,262,0,,0,주건축물,1304,411.47,31.55,411.47,411.47,31.55,31,일반철골구조,일반철골구조,20000,자동차관련시설,자동차관련시설,90,기타지붕,"기타지붕,경량철골",0,0,6,1,0,0,0,0,0,411.47,0,0,0,0,0,0,2,23,20020722,20030307,20031112,2002,,,1101,신축허가,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 61-2번지,41117,10500,0,0061,0002,10841242030,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 26-11 (영통동),,,,,0,411174331145,10501,0,26,11,,0,주건축물,320,184.49,57.65,248.75,248.75,77.73,32,경량철골구조,와이어판넬,04000,제2종근린생활시설,근린생활시설,90,기타지붕,와이어판넬,0,0,7.9,2,0,0,0,0,0,0,0,0,0,0,0,0,2,23,19990515,19990521,20000710,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 63-2번지,41117,10500,0,0063,0002,10841242032,1,일반,2,일반건축물,경기도 수원시 영통구 매영로 268 (영통동),,,,,0,411173177003,10503,0,268,0,,0,주건축물,576,335.13,58.18,1194.92,1194.92,207.45,31,일반철골구조,일반철골조,07000,판매시설,판매및영업시설,90,기타지붕,기타지붕,0,0,14.7,4,0,0,0,0,0,0,0,0,0,0,0,0,8,92,20021127,20021130,20030404,,,,,,0,,0,0,,0,,0,20250205,0,
경기도 수원시 영통구 영통동 64번지,41117,10500,0,0064,0000,10841242033,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 26-16 (영통동),,,,,0,411174331145,10501,0,26,16,,0,주건축물,655,380.37,58.07,993.18,993.18,151.63,21,철근콘크리트구조,"철근콘크리트조,일반철골구조",06000,종교시설,종교시설,10,(철근)콘크리트,(철근)콘크리트(슬라브),0,0,12.7,3,0,0,0,0,0,993.18,0,0,0,0,0,0,6,75,19941101,1994    ,19941213,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-2번지,41117,10500,0,0064,0002,10841242034,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 353 (영통동),,,,,1,411173177018,10502,0,353,0,,0,주건축물,387,178.16,46.04,592.79,471.38,121.8,21,철근콘크리트구조,철근콘크리트조,04000,제2종근린생활시설,근린생활시설,10,(철근)콘크리트,슬라브,0,0,11.3,3,1,0,0,0,0,0,0,0,0,0,0,0,4,46,19980715,19980806,19990409,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-7번지,41117,10500,0,0064,0007,10841242035,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 8 (영통동),석성산업,,,,2,411174331145,10501,0,8,,,0,주건축물,767,375.94,49.01,707.38,616.36,80.36,21,철근콘크리트구조,"라멘조, 조립식",17000,공장,공장 및 부대시설,10,(철근)콘크리트,슬라브,0,0,9.8,2,1,0,0,0,0,66130,0,0,0,0,0,0,0,0,19890105,19900228,19920928,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-8번지,41117,10500,0,0064,0008,10841242036,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 355 (영통동),,,,,0,411173177018,10502,0,355,0,,0,주건축물,184,116.1,63.1,116.1,116.1,63.1,32,경량철골구조,경량철골조,20000,자동차관련시설,자동차관련시설,10,(철근)콘크리트,경사트러스위판넬,0,0,4.2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,11.5,19990707,19990708,19990820,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-9번지,41117,10500,0,0064,0009,10841242037,1,일반,2,일반건축물,경기도 수원시 영통구 영통로 357 (영통동),,,,,0,411173177018,10502,0,357,,,0,주건축물,424,196.77,46.41,473.17,473.17,111.6,21,철근콘크리트구조,철근콘크리트조,01000,단독주택,"제2종근린생활시설, 단독주택[9가구], 자동차관련시설",10,(철근)콘크리트,평슬라브,0,9,11.85,3,0,0,0,0,0,0,0,0,0,0,2,23,2,23,20010521,20010526,20010924,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-18번지,41117,10500,0,0064,0018,10841242038,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 26-18 (영통동),태일자삽 공장,,,,0,411174331145,10501,0,26,18,,0,주건축물,499,299.22,59.96,793.67,793.67,159.05,21,철근콘크리트구조,"철근콘크리트구조, 경량철골구조",17000,공장,공장,90,기타지붕,그라스울지붕판넬,0,0,13.5,3,0,0,0,0,0,793.67,0,0,0,0,0,0,1,11.5,19940525,19940527,19941201,,,,,,0,,0,0,,0,,0,20220909,0,
경기도 수원시 영통구 영통동 64-19번지,41117,10500,0,0064,0019,10841242039,1,일반,2,일반건축물,경기도 수원시 영통구 영통로351번길 26-20 (영통동),,,,,0,411174331145,10501,0,26,20,,0,주건축물,746.71,333.08,44.61,999.24,999.24,133.82,21,철근콘크리트구조,"철근콘크리트조,일반철골구조",03000,제1종근린생활시설,"제1,2종근린생활시설",10,(철근)콘크리트,"슬라브,기타지붕",0,0,12.4,3,0,0,0,0,0,999.24,0,0,0,0,0,0,7,80.5,19941101,1994    ,19941215,,,,,,0,,0,0,,0,,0,20220909,0,
