사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
GS25수원영헌점,경기도 수원시 팔달구 인계동 1046-7 1층 ,"경기도 수원시 팔달구 효원로265번길 20, 1층 (인계동)",영업,편의점,37.2630327624,127.0313126253,팔달구
씨유 매산중앙점,경기도 수원시 팔달구 교동 142-19 ,"경기도 수원시 팔달구 매산로116번길 14, 1층 (교동)",영업,편의점,37.2706317245,127.0134898659,팔달구
지에스(GS)25 수원망포마을점,경기도 수원시 영통구 망포동 291-18 101호,"경기도 수원시 영통구 영통로173번길 23-28, 1층 101호 (망포동)",영업,편의점,37.2421048927,127.0529544282,영통구
GS25팔달유진점,경기도 수원시 팔달구 지동 73-5 ,"경기도 수원시 팔달구 중부대로 119, 1층 (지동)",영업,편의점,37.2784028193,127.0293673995,팔달구
이마트24 R 영통임광점,경기도 수원시 영통구 매탄동 1166 ,"경기도 수원시 영통구 권선로803번길 36, 1층 일부호 (매탄동)",영업,편의점,37.2570271751,127.0399203174,영통구
씨유 영통중앙점,경기도 수원시 영통구 영통동 1002-14 ,"경기도 수원시 영통구 청명남로4번길 21-15, 1층 일부호 (영통동)",영업,편의점,37.2504515502,127.0749045588,영통구
씨유 광교해링턴점,경기도 수원시 영통구 하동 1016 광교 효성해링턴 타워 ,"경기도 수원시 영통구 광교중앙로 170, 광교 효성해링턴 타워 1층 123호 (하동)",영업,편의점,37.2880507687,127.0606475494,영통구
GS25숙지공원점,경기도 수원시 팔달구 화서동 270-9 화서동 270-9 공동주택 ,"경기도 수원시 팔달구 화양로 66-3, 1층 101호 (화서동, 화서동 270-9 공동주택)",영업,편의점,37.2839810309,126.9961779225,팔달구
CU수원연무점2,경기도 수원시 팔달구 우만동 466 ,"경기도 수원시 팔달구 월드컵로 379, 1층 (우만동)",영업,편의점,37.2909238675,127.0295489036,팔달구
세븐일레븐 수원탑동점,경기도 수원시 권선구 탑동 760-1 ,"경기도 수원시 권선구 탑동로58번길 56, 1층 102호 (탑동)",영업,편의점,37.2749700232,126.9760813315,권선구
GS25우만싱싱점,경기도 수원시 팔달구 우만동 503-17 ,"경기도 수원시 팔달구 경수대로656번길 63, 1층 (우만동)",영업,편의점,37.2856496323,127.0315446715,팔달구
GS25고색거산,경기도 수원시 권선구 고색동 306-1 거산아파트 상가동 101호,"경기도 수원시 권선구 고현로5번길 25, 상가동 1층 101호 (고색동, 거산아파트)",영업,편의점,37.2480345525,126.9859423276,권선구
지에스(GS)25뉴인계원룸점,경기도 수원시 팔달구 인계동 956 다온 NOBLE ,"경기도 수원시 팔달구 장다리로283번길 9, 1층 101호 (인계동, 다온 NOBLE)",영업,편의점,37.2748645087,127.0281486709,팔달구
씨유수원곡반정점,경기도 수원시 권선구 곡반정동 584-6 씨유수원곡반정점 내 ,"경기도 수원시 권선구 경수대로54번길 99-6 (곡반정동, 씨유수원곡반정점 내)",영업,편의점,37.2353226664,127.0264899708,권선구
씨유당수해피점,경기도 수원시 권선구 당수동 276-19 ,"경기도 수원시 권선구 당진로15번길 42, 1층 (당수동)",영업,편의점,37.2916810419,126.9385653659,권선구
세븐일레븐 수원팔달원룸점,경기도 수원시 팔달구 구천동 22 ,"경기도 수원시 팔달구 중부대로12번길 2, 1층 (구천동)",영업,편의점,37.2749764304,127.0178947971,팔달구
세븐일레븐(수원영통점),경기도 수원시 영통구 영통동 1021-4 청명타운텔 ,"경기도 수원시 영통구 청명로 7 (영통동,청명타운텔)",영업,편의점,37.2484196392,127.0788962896,영통구
씨유 우만사거리점,경기도 수원시 팔달구 우만동 140-4 성원빌딩 ,"경기도 수원시 팔달구 중부대로 185, 성원빌딩 1층 (우만동)",영업,편의점,37.2773315395,127.0365706943,팔달구
