사업장명,소재지지번주소,소재지도로명주소,영업상태명,위생업태명,WGS84위도,WGS84경도,지역구분
GS25수원세지로점,경기도 수원시 팔달구 인계동 820-6 ,"경기도 수원시 팔달구 세지로234번길 4, 1층 (인계동)",영업,편의점,37.2718828824,127.0241406189,팔달구
씨유영통아이파크3단지점,경기도 수원시 영통구 망포동 790 영통아이파크캐슬3단지 ,"경기도 수원시 영통구 망포로84번길 10, 영통아이파크캐슬3단지 상가동 1층 105-106 일부호 (망포동, 영통아이파크캐슬3단지)",영업,편의점,37.2401829968,127.0406766352,영통구
씨유 매탄중부대로점,경기도 수원시 영통구 매탄동 153-35 ,"경기도 수원시 영통구 중부대로 248, 1층 (매탄동)",영업,편의점,37.2747416413,127.0427790674,영통구
미니스톱 수원병무청점,경기도 수원시 팔달구 화서동 58-3 101동 201호,"경기도 수원시 팔달구 고화로 129-1, 101동 201호 (화서동)",영업,편의점,37.2808691674,127.0063849492,팔달구
세븐일레븐 수원우만타운점,경기도 수원시 팔달구 우만동 523 ,"경기도 수원시 팔달구 경수대로642번길 62-1, 1층 (우만동)",영업,편의점,37.2844897655,127.0322851291,팔달구
씨유 더뉴탑동대로점,경기도 수원시 권선구 구운동 139-170 탑동물류창고 ,"경기도 수원시 권선구 금호로 199, 탑동물류창고 1층 (구운동)",영업,편의점,37.2749597383,126.9717387585,권선구
지에스25(GS25) 수원인정프린스점,경기도 수원시 권선구 당수동 287 인정프린스아파트상가동 101호,"경기도 수원시 권선구 당진로15번길 53, 101호 (당수동, 인정프린스아파트상가동)",영업,편의점,37.2919862179,126.9382923272,권선구
지에스25 영통매여울점,경기도 수원시 영통구 매탄동 196-32 ,"경기도 수원시 영통구 매여울로40번길 20-1, 1층 (매탄동)",영업,편의점,37.272042351,127.0463934536,영통구
세븐일레븐 수원권선점,경기도 수원시 권선구 권선동 964-13 ,경기도 수원시 권선구 권선로 637 (권선동),영업,편의점,37.2609917408,127.0213333757,권선구
GS25시편의점 벨섬시티,경기도 수원시 권선구 호매실동 1380 호매실마을 14단지 벨섬시티 101호,"경기도 수원시 권선구 호매실로218번길 22, 상가-1동 1층 101호 (호매실동, 호매실마을 14단지 벨섬시티)",영업,편의점,37.2627512934,126.9609409929,권선구
GS25 호매실상현재,경기도 수원시 권선구 호매실동 1406-6 ,"경기도 수원시 권선구 호매실로90번길 11, 107호, 108호 (호매실동)",영업,편의점,37.256001722,126.9633346581,권선구
GS25 광교포레나,경기도 수원시 영통구 하동 1017-4 포레나 광교 ,"경기도 수원시 영통구 광교호수공원로 300, 포레나 광교 103동 1층 149호 (하동)",영업,편의점,37.2850223958,127.0583073987,영통구
지에스25 지동제일점,경기도 수원시 팔달구 지동 475 ,"경기도 수원시 팔달구 팔달문로75번길 76, 1층 (지동)",영업,편의점,37.2828203635,127.0272867878,팔달구
씨유 권선구청점,경기도 수원시 권선구 고색동 1178-1 ,"경기도 수원시 권선구 호매실로 21-12, 1층 일부호 (고색동)",영업,편의점,37.254973374,126.9711791979,권선구
세븐일레븐 영통엘클래스2단지점,경기도 수원시 영통구 망포동 810 영통 롯데캐슬 엘클래스 2단지 ,"경기도 수원시 영통구 망포로48번길 7, 근린생활동 1층 8호 (망포동, 영통 롯데캐슬 엘클래스 2단지)",영업,편의점,37.2401415109,127.039278857,영통구
세븐일레븐 수원탑동로점,경기도 수원시 권선구 탑동 793-1 가림주택 101호,"경기도 수원시 권선구 탑동로36번길 15, 1층 101호 (탑동, 가림주택)",영업,편의점,37.2723979406,126.9753772858,권선구
씨유 수원에스프레소점,경기도 수원시 권선구 곡반정동 603-1 ,"경기도 수원시 권선구 동수원로36번길 6-1, 1층 (곡반정동)",영업,편의점,37.2346366465,127.0240027939,권선구
지에스25 기흥예현로,경기도 용인시 기흥구 서천동 368 천일프라자 ,"경기도 용인시 기흥구 예현로 45, 천일프라자 1층 105호 (서천동)",영업,편의점,37.2437121872,127.0658209559,서천동
지에스25 경희공학관점,경기도 용인시 기흥구 서천동 1 일부호,"경기도 용인시 기흥구 덕영대로 1732, 경희대학교 공학관 지하1층 일부호 (서천동)",영업,편의점,37.2443406271,127.0801141444,서천동
세븐일레븐 용인서천본점,경기도 용인시 기흥구 서천동 807 원희캐슬 서천2 1층 114일부호,"경기도 용인시 기흥구 서천로117번길 9, 원희캐슬 서천2 1층 114일부호 (서천동)",영업,편의점,37.2370175309,127.0740217171,서천동
GS25 경희대기숙사1점,경기도 용인시 기흥구 서천동 1 경희대학교국제캠퍼스 ,"경기도 용인시 기흥구 덕영대로 1732, 경희대학교국제캠퍼스 제2기숙사 1층 102호 일부호 (서천동)",영업,편의점,37.2443406271,127.0801141444,서천동
gs25기흥예현마을점,경기도 용인시 기흥구 서천동 705 예현마을현대홈타운아파트 상가동 ,"경기도 용인시 기흥구 예현로35번길 23, 예현마을현대홈타운아파트 상가동 104호 일부호 (서천동)",영업,편의점,37.2421572168,127.0670362736,서천동
지에스(GS)25서천현대점,경기도 용인시 기흥구 서천동 294-17 1층 ,"경기도 용인시 기흥구 서그내로16번길 11 (서천동, 1층)",영업,편의점,37.2451962608,127.0723633331,서천동
GS25서천에이스점,경기도 용인시 기흥구 서천동 729-11 102일부호,"경기도 용인시 기흥구 서천서로12번길 6, 102호 (서천동)",영업,편의점,37.2408476318,127.0737859469,서천동
씨유서천파크원점,경기도 용인시 기흥구 서천동 736 센트럴파크원 상가동 101호,"경기도 용인시 기흥구 서천서로 27, 상가동 1층 101호 (서천동, 센트럴파크원)",영업,편의점,37.2403011523,127.0722218724,서천동
씨유 서천사랑방점,경기도 용인시 기흥구 서천동 789 일부호,"경기도 용인시 기흥구 서천동로21번길 8, 1층 일부호 (서천동)",영업,편의점,37.2384535103,127.0773057025,서천동
씨유 서천홈타운점,경기도 용인시 기흥구 서천동 404-2 ,"경기도 용인시 기흥구 서그내로62번길 41, 1층 일부호 (서천동)",영업,편의점,37.2425483515,127.0680036694,서천동
지에스25 경희전자국제점,경기도 용인시 기흥구 서천동 1 일부호,"경기도 용인시 기흥구 덕영대로 1732, 경희대학교 전자정보대학관 1층 일부호 (서천동)",영업,편의점,37.2443406271,127.0801141444,서천동
